REGION,COUNTRY,KW1,KW2,PROJECT TITLE,CLIENT,Name of Client,Duration  (months),EUR Value of assignment,Origin of funding,Start Year,Duration
Africa,Ghana  ,ARD,ARD,Review of the performance of the Agricultural ,OPM / Danida,Oxford Policy Management,1 Months,"10,520",Denmark,2011,1 Months
Asia,Cambodia,ARD,ARD,"Environment, Natural Resources, Agriculture and Rural Development",ADE for EU,"ADE for EU
Aid Delivery Methods - Support Team",1 Months,"10,300",EU,2011,1 Months
Europe,Albania,ARD,ARD,Value Chains for Sustainable livelihoods in Albania,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"16,070",Denmark,2011,3 Months
Africa,Kenya  ,ARD,ARD,Final Evaluation of CDP - 3 and CDEMP-CEF Component,AESA,Agriconsulting Europe for EU,5 Months,"46,696",,2010,5 Months
Europe,Montenegro,ARD,ARD,"Mid-term review (evaluation) of the Organic Agriculture Development Programme, Montenegro",Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"13,510",Danida,2010,2 Months
Africa,Kenya,ARD,ARD,Mid-Term Evaluation of the National Agriculture and Livestock Extension Programme (NALEP) - Phase 2,"Embassy of Sweden, Nairobi","Embassy of Sweden, Nairobi",5 Months,"96,580",SIDA,2009,5 Months
Africa,Uganda,ARD,ARD,Appraisal of the Ugandan Growth Program and Finalisation of the Component: Agribusiness Development Initiatives (aBi),Danida,"Ministry of Foreign Affairs, Denmark",10 Months,"141,190",Danida,2009,10 Months
Asia,Bangladesh,ARD,ARD,"Joint Technical Review, Agricultural sector Support, Phase II Bangladesh",Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"16,060",Danida,2010,2 Months
Asia,Bangladesh,ARD,ARD,"Review and Revision of the Monitoring System and Procedures, Agricultural Sector Programme Support, Phase II (ASPS II)",Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"65,000",Denmark,2009,8 Months
Americas,Bolivia,ARD,ARD,Review Mission of APSA II,Danida,"Ministry of Foreign Affairs, Denmark",26 Months,"304,030",Danida,2009,26 Months
Americas,Bolivia,ARD,ARD,Systematization and Documentation of experience of the DELA's,Danida,"Ministry of Foreign Affairs, Denmark",26 Months,"304,030",Danida,2009,26 Months
Americas,Bolivia,ARD,ARD,Formalation of EMPODERAR-PAR Phase II,Danida,"Ministry of Foreign Affairs, Denmark",26 Months,"304,030",Danida,2009,26 Months
Africa,Sierra Leone  ,ARD,GMD,"Consultancy Services for National Planning, Design and Supervision of the SLCDD II (GIETRENK) Project",NaCSA,National Commission for Social Action,49 Months,"1,926,509",IDB,2018,49 Months
Asia,Myanmar,ARD,GCS,Evaluation of European Union’s Cooperation with Myanmar (2012-17),EC,The European Commission,14 Months,"249,892",EU,2017,14 Months
Americas,Bolivia,ARD,ARD,Agriculture and Production Sector Programme,Danida,"Ministry of Foreign Affairs, Denmark",26 Months,"304,030",Danida,2009,26 Months
Americas,Bolivia,ARD,ARD,Agriculture and Production Sector Programme,Danida,"Ministry of Foreign Affairs, Denmark",26 Months,"304,030",Danida,2009,26 Months
Africa,Uganda,ARD,ARD,Annual Sector Review of the Agricultural Sector Programme Support (ASPS II) Uganda,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"56,030",Denmark,2008,2 Months
Asia,Bangladesh,ARD,SE,Support to preparation of a Management Plan,Danida,"Danida, Ministry of Foreign Affairs",8 Months,"48,268",Denamrk,2017,8 Months
Americas,Bolivia,ARD,ARD,International Consultant supporting the design of the Programme for Rural Productive Development wthin the framework of the Ministry of Agriculture's Sector Development Plan,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"18,980",Denmark,2007,2 Months
Africa,Egypt,ARD,ARD,Assistance in Establishing Simple Monitoring and Reporting System in the Middle East Regional Agricultural Programme MERAP,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"22,770",Denmark,2007,4 Months
Asia,Israel,ARD,ARD,Assistance in Establishing Simple Monitoring and Reporting System in the Middle East Regional Agricultural Programme MERAP,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"22,770",Denmark,2007,4 Months
Asia,Jordan,ARD,ARD,Assistance in Establishing Simple Monitoring and Reporting System in the Middle East Regional Agricultural Programme MERAP,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"22,770",Denmark,2007,4 Months
Asia,Palestina,ARD,ARD,Assistance in Establishing Simple Monitoring and Reporting System in the Middle East Regional Agricultural Programme MERAP,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"22,770",Denmark,2007,4 Months
Africa,Gambia,ARD,ARD,Study on IGA in Gambia,WB,The World Bank Group,2 Months,"29,600",WB,2006,2 Months
Global,Global,ARD,ARD,Sida Framework Agreement for Consulting Services for Short Term Assignments within the Rural Development Sector,Sida,Swedish International Development Cooperation Agency - Sida ,1 Months,1,Sweden,2006,1 Months
Americas,Bolivia,ARD,ARD,Review of Agricultural Sector Programme,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"17,010",Denmark,2006,2 Months
Africa,Tanzania,ARD,ARD,Financial Management Assistance to ERETO II Ngorongoro Pastoralist Project (ERETO II NPP) 2nd And 3rd Visits,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2005,1 Months
Asia,Vietnam,ARD,ARD,Agricultural sector programme support,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"86,290",Denmark,2005,3 Months
Americas,Bolivia,ARD,ARD,Finalisation of Agricultural Sector Programme Document; Phase II,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"29,400",Denmark,2005,3 Months
Americas,Bolivia,ARD,ARD,Appraisal of the agricultural sector programme support,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"31,480",Denmark,2005,2 Months
Asia,Bangladesh,ARD,ARD,ASPS Phase 2,Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"21,122",Denmark,2004,6 Months
Asia,Iraq,ARD,ARD,Assistance by independent consultant in tendering and award of the contract for senior agricultural development advisory to the government of Iraq,Danida,"Ministry of Foreign Affairs, Denmark",12 Months,"29,610",Denmark,2004,12 Months
Asia,Vietnam,ARD,ARD,Technical Review of the ASPS IPM Component,Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"125,870",Denmark,2003,8 Months
Americas,Bolivia,ARD,ARD,Review of 2 components in agricultural programme,Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"106,010",Denmark,2003,8 Months
Africa,Ghana,ARD,ARD,"Midterm Review - Land and Water Management Project, Consolidation Phase.",Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"75,660",Denmark,2002,8 Months
Asia,Bangladesh,ARD,ARD,Institutional Analysis Specialist - Institutional Analysis and Future Development of the Department of Livestock Services,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"98,730",Denmark,2002,2 Months
Asia,Bangladesh,ARD,ARD,Midterm Review of Local Initiatives for Farmers’ Training (LIFT) being implemented by CARE - Bangladesh,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"307,260",Denmark,2002,3 Months
Africa,Malawi,ARD,ARD,"Agricultural Sector Programme Support - Annual Sector Review 2000, incl. preparation of background material.",Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"77,130",Denmark,2000,3 Months
Africa,Uganda,ARD,ARD,Consultancy Services to the Agricultural Sector Programme Support,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2000,1 Months
Africa,Ghana,ARD,ARD,Review cum Pre-appraisal - Land and Water Management Project.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Asia,Vietnam,ARD,ARD,Mid-Term Review - Quang Tri Rural Development Programme.,Finnida,,1 Months,1,Finland,1999,1 Months
Africa,Eritrea,ARD,ARD,Formulation Mission: Agricultural Sector Programme Support: Capacity Building in Financial Management.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Africa,Malawi,ARD,ARD,Implementation of ASPS: Small Scale Irrigation Pilot Activities (2 years),Danida,"Ministry of Foreign Affairs, Denmark",19 Months,"281,500",Denmark,1998,19 Months
Asia,India ,ARD,ARD,"Review - Indo-Danish Integrated Livestock Development Project and Indo-Danish Comprehensive Watershed Development Project, Koraput, Orissa ",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Asia,Thailand,ARD,ARD,Pre-Appraisal - Sustainable Agricultural Development Project.,Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1998,1 Months
Asia,Thailand,ARD,ARD,Project Formulation - Safe Use of Agricultural Chemicals,Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1998,1 Months
Asia,Vietnam,ARD,ARD,Feasibility Study - THUA Thien-Hue Rural Development Programme.,Finnida,,1 Months,1,Finland,1998,1 Months
Asia,Kazakhstan,ARD,ARD,"Remote Villages Development Project, Kazakhstan.",UNOPS,,1 Months,1,UN,1998,1 Months
Asia,Afghanistan,ARD,GCS,Evaluation of EU Cooperation with Afghanistan,Lattanzio for EU,Lattanzio Advisory S.p.A,23 Months,"76,500",EU,2018,23 Months
Africa,Malawi,ARD,ARD,"Malawi Agricultural Sector Programme Support, Irrigation Component - Supervision of Irrigation Sub-sector Studies",Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"60,050",Denmark,1997,4 Months
Africa,Malawi,ARD,ARD,ASPS: Institutional Capacity and Training Needs Assessment & Policy Finalisation,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Africa,Malawi,ARD,ARD,Pre-formulation Mission: Smallholder Flood Plains Development Programme,IFAD,,1 Months,1,,1997,1 Months
Africa,Zimbabwe,ARD,ARD,Formulation Mission - Agricultural Sector Programme Support (ASPS).,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Africa,Zimbabwe,ARD,ARD,Formulation Mission - ASPS: Agricultural Education Component,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Africa,Malawi,ARD,ARD,Identification Mission: Agricultural Sector Programme Support (ASPS).,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,Thailand,ARD,ARD,Pre-Appraisal - Dak Lak Agricultural Programme,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Europe,Sweden  ,ARD,CC,"Developing a framework for monitoring and presenting results of the ""work done"" by a network over a 3-5 year implementation periode",siwi,Stockholm International Water Institute,1 Months,"7,236",,2016,1 Months
Africa,Ethiopia  ,ARD,GCS,Component review of the PSNP-HABP,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"30,802",Denmark,2015,2 Months
Africa,Botswana,ARD,ENM,Botswana Agricultural Services Support Project - Mid-Term Review,IFAD,International Fund for Agricultural Development,1 Months,"18,646",IFAD,2014,1 Months
Africa,Ethiopia  ,ARD,CC,Greening Agriculture in Ethiopia.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"64,530",Denmark,2014,3 Months
Africa,Ethiopia  ,ARD,CC,Appraisal and process consulting for the Greening Agricultural Transformation in Ethiopia (GATE) Thematic Programme ,Danida,"Danida, Ministry of Foreign Affairs, Denmark",5 Months,"146,363",Denmark,2014,5 Months
Africa,Ethiopia  ,ARD,CC,Process Consultancy for the finalisation of the Greening Agriculture Transformation in Ethiopia (GATE) programme,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"37,229",Denmark,2014,3 Months
Europe,Serbia,ARD,GMD,Review of the Private sector programme: Support to the Fruit and Berries Sector in South of Serbia,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"21,143",Denmark,2014,2 Months
Africa,Egypt  ,ARD,GMD,Interim Project Review - WorldFish,WOF,WorldFish,2 Months,20895.30581,,2014,2 Months
Africa,Benin,ARD,GMD,Consultancy assignment to review the RECESCA initiative in Benin,BF,BØRNEfonden,2 Months,"13,410",Denmark,2013,2 Months
Africa,Tanzania  ,ARD,GCS,"Training of Trainers Course in Establishment and Development of Farmer Interest Groups for the ADDA project ""Nado in Focus"" Tanzania",ADDA,ADDA,1 Months,"8,677",Denmark,2013,1 Months
Africa,Uganda  ,ARD,GMD,"Appraisal of the Danish Support to U-Growth II Programme, 2014-2018, Uganda.",Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"116,510",Denmark,2013,3 Months
Asia,Bangladesh,ARD,GMD,Inception Review of the Agriculture Growth and Employment Programme,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"33,485",Denmark,2014,3 Months
Asia,Bangladesh,ARD,GMD,"Agro Business Development Component (ABDC)/Katalyst 
under the Agricultural Growth and Employment Programme 
",Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"9,420",Denmark,2013,2 Months
Europe,Kosovo  ,ARD,GMD,Inception Review of Danish Support to Kosovo's National Agricultural and Rural Development Plan,Danida,"Danida, Ministry of Foreign Affairs, Denmark",4 Months,"19,450",Denmark,2013,4 Months
Europe,Montenegro,ARD,GMD,Periodic adviser for the Danish-supported orgainic agricultural development programme in Montenegro,Danida,"Danida, Ministry of Foreign Affairs, Denmark",9 Months,"67,030",Denmark,2013,9 Months
Americas,Bolivia,ARD,GMD,Preparation of second phase of the ASAP programme 2014-2018,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"32,690",Denmark,2013,2 Months
Africa,Namibia  ,ARD,GMD,Organise and Facilitate the workshop on Sector Wide Approach in Rural Development in Namibia,Cardno,Cardno Emerging Markets (UK) Ltd,1 Months,"12,260",0,2012,1 Months
Africa,Namibia  ,ARD,GMD,Organise and Facilitate the workshop on Sector Wide Approach in Rural Development in Namibia,Cardno Emerging Markets (UK) Ltd,Cardno Emerging Markets (UK) Ltd,1 Months,"12,260",0,2012,1 Months
Africa,Uganda  ,ARD,GMD,"Annual Review of the Uganda U-Growth Programme - Agribusiness Initiative and Public Sector Agriculture Support Components 


",Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"30,610",Denmark,2012,3 Months
Asia,Bangladesh,ARD,SE,Developing the Capacity of Katalyst in Monitoring and Results Measurement (MRM),Swisscontact,Swiss Foundation for Technical Cooperation,5 Months,"24,430",Schweiz,2012,5 Months
Europe,Albania,ARD,GMD,Formulation of support to Albania's agriculture sector 2014-2018.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",26 Months,"36,045",Denmark,2012,26 Months
Europe,Serbia,ARD,GMD,"REVIEW OF SUPPORT TO THE FRUITS AND BERRIES SECTOR 
IN THE SOUTH OF SERBIA

",Danida,"Danida, Ministry of Foreign Affairs, Denmark",1 Months,"21,440",Denmark,2012,1 Months
Americas,Bolivia,ARD,GMD,Agriculture and Production Sector Programme,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"32,830",Denmark,2012,2 Months
Africa,Uganda  ,ARD,GMD,Midterm Review of the U-Growth Programme,Danida,"Danida, Ministry of Foreign Affairs, Denmark",4 Months,"54,360",Danida,2011,4 Months
Europe,Kosovo,ARD,GMD,"Follow-up on the recommendations (redesign) of the Appraisal of Danish Support to Private / Agriculture Sector Development in Kosovo 2011-2015
",Danida,Danida,2 Months,15010,Danida,2011,2 Months
Europe,Kosovo,ARD,GMD,"Appraisal of Danish Support to Private / Agriculture Sector Development in Kosovo 2011-2015
",Danida,Danida,2 Months,"34,470",Danida,2011,2 Months
Europe,Serbia,ARD,GMD,Inception Reivew of the Support to the Fruits and Berries Sector in the the South of Serbia,Danida,Danida,1 Months,"15,460",Danida,2011,1 Months
Global,Global,ARD,ENM,Preparation of an option papaer for future danish support to Land And Water,Danida,"Danida, Ministry of Foreign Affairs, Denmark",16 Months,"95,250",Denmark,2011,16 Months
Global,Global,ARD,ENM,"Environment, Natural Resources, Agriculture and Rural Development",ADE,ADE for EU,1 Months,"8,530",,2011,1 Months
Africa,Kenya,ARD,GMD,Final Evaluation HORTICAP Project,Agriconsulting Europe,Agriconsulting,½ months,"12,910",EU,2010,½ months
Africa,Uganda,ARD,GCS,Review of Development Assistance to Refugee Hosting Areas & Restoration of Agricultural Livelihoods In Northern Uganda,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"31,030",Danida,2010,2 Months
Africa,Uganda  ,ARD,GMD,"Inception Review of the U-Growth Programme, Uganda ",Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"42,040",Danida,2010,2 Months
Asia,Bangladesh,ARD,GMD,Appraisal of Agricultural Growth and Employment Programme 2012-17,Danida,Danida,2 Months,"63,840",Danida,2012,2 Months
Europe,Albania,ARD,GMD,Inception review: Value chains for sustainable livelihoods in mountainous Albania,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"16,640",Danida,2010,2 Months
Asia,Georgia,ARD,GMD,Identification of a Support Programme for Regional Economic Development  in Rural Southern Georgia,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"35,330",Danida,2010,4 Months
Asia,Georgia  ,ARD,GMD,Formulation Mission New Private Sector Programme in Southern Georgia,Danida,Danida,9 Months,"104,890",Denmark,2010,9 Months
Africa,Uganda,ARD,SE,Appraisal of the Ugandan Growth Program and Finalisation of the Component: Agribusiness Development Initiatives (aBi),Danida,"Ministry of Foreign Affairs, Denmark",10 Months,"141,190",Danida,2009,10 Months
Africa,Zambia,ARD,SE,"Assistance to Development of an Agriculture Programme, Zambia 2009-2012",Sida,Swedish International Development Cooperation Agency - Sida ,8 Months,"71,470",SIDA,2009,8 Months
Asia,Bangladesh,ARD,GMD,Consultancy for revising the M & E section of the under preparation Agricultural Growth and Employment Programme Document.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",1 Months,28630,Denmark,2012,1 Months
Africa,Mozambique,ARD,GMD,"Annual Review of Agriculture Sector Programme Support, Phase II Mozambique ",Danida,"Ministry of Foreign Affairs, Denmark",15 Months,"55,420",Denmark,2007,15 Months
Global,Global,ARD,SE,"Assistance in formulation of Proposals European Union, NGO Co-financing call 2006",Humana,Humana Spain & Sweden,2 Months,"4,180",,2007,2 Months
Asia,Vietnam,ARD,GCS,"Identification of Second Generation Sector Programme in Lai Chau and Component formulation of the support to Dien Bien, Lau Chau and Lao Cai Provinces, Vietnam",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,"118,490",Denmark,2006,1 Months
Americas,Nicaragua,ARD,SE,"Appraisal of Blood Plasma Project, Nicaragua",Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"11,190",Denmark,2006,2 Months
Americas,Nicaragua,ARD,ENM,"Identification of Support to improvement of the production, local organization and commercialization of Cacao via the sustainable management component of PASMA II",Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"33,830",Denmark,2006,3 Months
Africa,Tanzania,ARD,FM,Financial Management Assistance to ERETO II Ngorongoro Pastoralist Project,PEM EA -Danida,"Ministry of Foreign Affairs, Denmark",1 Months,"14,700",Denmark,2005,1 Months
Africa,Tanzania,ARD,ENM,"HIMA Evaluation, Tanzania",Danida,"Ministry of Foreign Affairs, Denmark",12 Months,"34,550",Denmark,2005,12 Months
Africa,Uganda,ARD,GMD,"Regional development needs, potentials and opportunities of West Nile - Preparation of the technical concept paper for the West Nile Development Conference",Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"76,450",Denmark,2005,3 Months
Asia,Vietnam,ARD,GCS,"Identification Support to Dien Bien and Lao Cai within the Agricultural and Rural Development Sector Programme Support (ARD SPS), Vietnam 2007-2011",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2005,1 Months
Asia,Vietnam,ARD,PSM,"National Management Unit, Agricultural Sector Programme Support",Danida,"Ministry of Foreign Affairs, Denmark",12 Months,"58,820",Denmark,2004,12 Months
Africa,Tanzania,ARD,ENM,Financial Management assistance to Ngorogoro Pastoralist Project,Danida,"Ministry of Foreign Affairs, Denmark",5 Months,46060,Denmark,2003,5 Months
Africa,Tanzania,ARD,GCS,Consultant for Development of Managerial and Administrative Capacity of the Ngorongoro Pastoralist Project (Ereto-NPP),Danida,"Ministry of Foreign Affairs, Denmark",7 Months,"57,800",Denmark,2002,7 Months
Asia,Bangladesh,ARD,SE,Soil Resource Development Institute (SRDI) Management Consultancy on Adjustment of the overall SRDI Framework,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,68680,Denmark,2002,1 Months
Africa,Tanzania,ARD,ENM,Ngorongoro Pastoralist Project - Establishment of Financial Management System and Training in Navision,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Africa,Tanzania,ARD,WS,Formulation Mission: Support to Smallholder Irrigation Development.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Global,Global,CC,GCS,Technical Support to COP 15 in relation to Civil Society,Danida,"Ministry of Foreign Affairs, Denmark",7 Months,"84,000",Denmark,2009,7 Months
Global,Global,CC,RE,Review of the Climate Technology Centre and Network (CTCN),Danida,"Danida, Ministry of Foreign Affairs, Denmark",5 Months,"20,012",Denmark,2018,5 Months
Africa,Comoros,CC,WS,Evaluation of the GEF funded project: “Adapting water resource management in the Comoros to expected climate change”,UNEP,UNEP,2 Months,"35,929",GEF,2017,2 Months
Americas,Costa Rica  ,CC,CC,Mid-Term Evaluation of the Low Emission Capacity Building (LECB) Programme.,UNDP,UNDP,9 Months,"41,053",,2015,9 Months
Global,Global,CC,CC,LECB and NDC Programmes - Monitoring and Evaluation,UNDP,UNDP,7 Months,"49,522",0,2019,7 Months
